true_label,pred_cluster,embedding_dim0,embedding_dim1
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
25,6,-0.1432295,0.13904634
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.011223952,-0.11234095
36,8,0.010212587,-0.109001875
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
19,2,-0.044325054,0.10690845
36,8,0.01122395,-0.11234096
36,8,0.010212583,-0.10900189
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
19,2,-0.044325054,0.10690845
37,9,0.18202841,-0.028639274
37,9,0.18202841,-0.028639274
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
8,10,-0.091520876,-0.012203627
8,10,-0.08029485,-0.0015297793
